What is a linked list?, A linear data structure,A sorting algorithm,A type of tree structure,A database query language, A linear data structure,memorybased,easy
Which of the following is true about a singly linked list?,Each node has two pointers,Traversal can only be done in one direction, It requires less memory than a doubly linked list,Deletion at the middle requires O(1) time complexity,Traversal can only be done in one direction,memorybased,easy
What is the time complexity of inserting a node at the beginning of a linked list,O(1),O(log n),O(n),O(n log n),O(1),memorybased,medium
Which of the following is not an advantage of a linked list over an array?,Dynamic size,Ease of insertion/deletion at any position,Random access of elements,Efficient memory utilization,Random access of elements,memorybased,medium
What is the purpose of a tail pointer in a linked list? , It points to the previous node ,It points to the next node ,It points to the last node ,It points to the first node ,It points to the last node ,memorybased,easy
"In a circular linked list, how does the last node point to the first node?",NULL pointer,It points to the previous node ,it points to a special marker indicating the end,it directly points to first node,it directly points to first node,understanding,medium
Which type of linked list allows traversal in both directions?,singly linked list,doubly linked list,circular linked list ,skip list,doubly linked list,memorybased,easy
What is a dummy node in a linked list?,A node with null pointers,A node with data equal to zero,A node used as a placeholder,A node that is disconnected from the list,A node used as a placeholder,memorybased,medium
How is memory allocated for nodes in a linked list?,Contiguous allocation,Stack allocation,Heap allocation,Global allocation,Heap allocation,memorybased,easy
Which operation in a linked list has the highest time complexity?,Insertion at the beginning,Insertion at the end,Deletion at the beginning,Deletion at the end,Deletion at the end,understanding,hard
What is the memory overhead for each node in a singly linked list in a 32-bit system?,4 bytes,8 bytes,12 bytes,16 bytes,4 bytes,memorybased,hard
How does memory allocation for nodes in a linked list differ from arrays?,Nodes are allocated contiguously in memory,Nodes are allocated on the stack,Nodes are allocated dynamically on the heap,Nodes are allocated statically,Nodes are allocated dynamically on the heap,memorybased,medium
"What is the significance of the ""next"" pointer in a linked list node?",It stores the value of the node,It points to the previous node,It points to the next node in the sequence,It contains metadata about the node,It points to the next node in the sequence,memorybased,easy
"In a doubly linked list, how much additional memory is required per node compared to a singly linked list?",Same amount,Half amount,Twice the amount,Three times the amount,Twice the amount,memorybased,medium
"When a node is dynamically allocated for a linked list, what type of memory allocation function is commonly used?",malloc(),free(),realloc(),calloc(),malloc(),memorybased,easy
What is the term for memory leaks that can occur in linked lists?,Segmentation fault,Memory fragmentation,Memory leak,Dangling pointer,Memory leak,memorybased,hard
How does the memory usage of a linked list compare to that of an array when it comes to dynamic resizing?,Linked list consumes more memory,Array consumes more memory,Both consume the same amount of memory,It depends on the implementation,. Linked list consumes more memory,understanding,medium
What happens if memory allocation fails during node creation in a linked list?,Program crashes, Operating system reallocates memory,Null pointer is returned,Garbage collector intervenes,Null pointer is returned,understanding,easy
How does memory fragmentation impact the performance of a linked list?,It improves performance,It degrades performance,It has no impact,It depends on the size of the list,It degrades performance,memorybased,hard
What is the role of the memory management system in a linked list?,To allocate memory for nodes,To deallocate memory for nodes,To manage memory leaks,All of the above,All of the above,memorybased,medium
"In a singly linked list, how many pointers does each node typically contain?",one,two,three,four,one,memorybased,easy
"When a node is deleted from a linked list, what happens to its memory?",It is immediately deallocated,It becomes inaccessible but remains in memory until garbage collected,It remains intact but with no references,It is marked for deletion by the operating system,It becomes inaccessible but remains in memory until garbage collected,understanding,medium
What is the impact of memory fragmentation on linked list operations?,It has no impact,It may slow down traversal and manipulation operations,It improves memory allocation efficiency,It reduces memory consumption,It may slow down traversal and manipulation operations,memorybased,hard
